iso3,ano,asr_dalys_(anos_de_vida_perdidos_ajustados_por_incapacidade),asr_deaths,asr_incidence,asr_ylds_(anos_vividos_com_incapacidade),asr_ylls_(anos_de_vida_perdidos_por_morte_prematura),alfabetizacao_adultos_pct,expectativa_vida,pib_per_capita,urbanizacao_pct
RUS,2022,76.83321743954853,2.8079421865360343,2.95825862951,0.84363616266,75.98958129882296,,72.5456097560976,15625.6328125,74.8544893625017
RUS,2023,79.79268288617634,2.95926336312616,3.10790469064,0.8889504105200001,78.90373249876637,,73.2546341463415,13986.9951171875,74.9805047873279
RWA,2010,,,,,,,62.804,586.599950359877,16.9255580310614
RWA,2011,,,,,,,63.476,643.356138618166,16.9323586881273
RWA,2012,,,,,,68.3300018310547,64.189,697.760143509565,16.9410248882148
RWA,2013,,,,,,,64.651,695.397140963607,17.0742206053612
RWA,2014,,,,,,70.8000030517578,65.088,715.36808783393,17.5020716539756
RWA,2015,,,,,,,65.419,725.691418696952,18.1953149858416
RWA,2016,,,,,,,65.733,721.258515833094,19.1213951786548
RWA,2017,,,,,,,66.14,751.049039527547,20.2477568101111
RWA,2018,,,,,,73.2200012207031,66.354,772.754982959354,21.5418444579064
RWA,2019,,,,,,,66.691,823.355304065304,22.9711026997362
RWA,2020,,,,,,80.0500030517578,66.953,802.638686936204,24.5029761132966
RWA,2021,,,,,,,66.85,842.581492947672,26.1049092762833
RWA,2022,,,,,,78.7600021362305,67.528,1007.05989322914,27.7806702737761
RWA,2023,,,,,,,67.785,1061.05788154076,28.8555310645477
SAS,2010,,,,,,67.9400024414062,67.3525068406787,1294.02734415145,30.9636904041139
SAS,2011,,,,,,68.6999969482422,67.8108394834024,1397.0068255002,31.3499145522495
SAS,2012,,,,,,68.5299987792969,68.2629615309516,1387.18205938261,31.6728581018008
SAS,2013,,,,,,69.8399963378906,68.6853288301062,1405.84072374278,32.0003773282425
SAS,2014,,,,,,70.5599975585938,69.1208563538772,1528.4920875126,32.3195810824512
SAS,2015,,,,,,71.9599990844727,69.5110334122263,1570.54142452744,32.6380348100917
SAS,2016,,,,,,73.3499984741211,69.9184707063298,1722.90703396273,32.9532139923473
SAS,2017,,,,,,74.0199966430664,70.2904723380061,1956.06707563972,33.2643876230047
SAS,2018,,,,,,74.7399978637695,70.6523573971364,1988.36633317988,33.5735795082406
SAS,2019,,,,,,74.5100021362305,70.9975623145981,2067.05975680251,33.8860664509609
SAS,2020,,,,,,75.2399978637695,70.3622206982499,1957.20343709781,34.2000653894608
SAS,2021,,,,,,76.0599975585938,67.8215299767513,2273.72055805692,34.5086968655354
SAS,2022,,,,,,76.9000015258789,72.0115731308447,2326.72890585805,34.8137520955194
SAS,2023,,,,,,77.5699996948242,72.3247648783903,2449.857142451,35.137165500664
SAU,2010,,,,,,,75.616,22028.3901426586,82.0791668544465
SAU,2011,,,,,,,75.808,27126.7498747702,82.2543876159947
SAU,2012,,,,,,,76.09,28733.4375513452,82.4311918025358
SAU,2013,,,,,,94.4300003051758,76.517,27865.465604962,82.6071884619102
SAU,2014,,,,,,,77.116,27805.4850319422,82.7822571294871
SAU,2015,,,,,,,77.776,23256.1549553531,82.9562773406163
SAU,2016,,,,,,,78.354,22267.7217050387,83.129128630626
SAU,2017,,,,,,95.3300018310547,78.721,23929.2907135982,83.300690534822
SAU,2018,,,,,,,78.75,29360.0658968566,83.4708425884849
SAU,2019,,,,,,,78.313,29566.7933827436,83.6394643268678
SAU,2020,,,,,,97.5899963378906,77.596,24338.8307301067,83.8064352851942
SAU,2021,,,,,,,77.089,31920.7653655643,83.9716349986538
SAU,2022,,,,,,,77.31,38510.2276211037,84.1349430023993
SAU,2023,,,,,,,78.732,36156.8562500172,84.2962388315415
SDN,2010,,,,,,,62.979,1305.63598632813,32.7174026591513
SDN,2011,,,,,,,63.181,1332.6572265625,32.9059760141986
SDN,2012,,,,,,,63.427,1019.22210693359,33.1425561614901
SDN,2013,,,,,,,63.443,1138.62780761719,33.4264777958103
SDN,2014,,,,,,,63.99,1275.43835449219,33.7624582408117
SDN,2015,,,,,,,64.375,1292.37963867188,34.0914394628597
SDN,2016,,,,,,,64.677,1033.21594238281,34.1881958841213
SDN,2017,,,,,,,65.146,966.505676269531,34.2872225663509
SDN,2018,,,,,,,65.501,731.027465820313,34.382054222005
SDN,2019,,,,,,,65.803,709.975280761719,34.4727685824236
SDN,2020,,,,,,,65.124,577.795227050781,34.5594433789246
SDN,2021,,,,,,,64.46,712.122009277344,34.6421563427994
SDN,2022,,,,,,,65.695,1046.24084472656,34.7209852053086
SDN,2023,,,,,,,66.331,797.283447265625,34.7960076976764
SEN,2010,55.04095886363266,2.101160723453767,2.0751062423,0.60012816831,54.44083071092668,,64.221,1275.88357492357,43.6371785059692
SEN,2011,55.74815443954692,2.1314941498396696,2.10379057498,0.60787273944,55.14028171591482,51.810001373291,64.799,1374.67591873844,44.0689668509475
SEN,2012,53.1431956997218,2.043266322935318,2.01405353401,0.5827580595,52.56043765536975,,65.229,1326.83798848379,44.5359772452989
SEN,2013,55.04531703643639,2.1283223801281683,2.0967734784,0.6086490716099999,54.43666798064677,43.5299987792969,65.638,1379.83196553924,45.0398750539456
SEN,2014,57.18630146545188,2.2045562317258613,2.17513099326,0.63079441629,56.55550706556077,,66.001,1398.89137601382,45.6020905341588
SEN,2015,54.374105139037454,2.0941373823688902,2.066139156,0.59954118338,53.77456397124746,43.5900001525879,66.451,1218.00613555438,46.2747669629858
SEN,2016,57.09370800197055,2.1909493700656943,2.16445967343,0.6255718791,56.46813613913179,46.0999984741211,66.724,1266.43957151587,47.0553579909929
SEN,2017,56.360490938813086,2.159689560951209,2.13543048118,0.61881118798,55.74167976692612,51.9000015258789,67.059,1354.77007193387,47.9338349639053
SEN,2018,54.73101309280181,2.0969418256453776,2.07494737004,0.60250173751,54.12851137095893,46.6100006103516,67.379,1452.55612562445,48.9001692274485
SEN,2019,59.03862763751116,2.2531287137243767,2.23353961057,0.64571546104,58.39291219325596,46.8300018310547,67.668,1431.18128932159,49.9443321273477
SEN,2020,56.4854663662699,2.165048228872928,2.14122729354,0.6191049466299999,55.866361435731854,,67.496,1461.08720350553,51.0562950093282
SEN,2021,57.81665072930876,2.2285909411489486,2.19972002402,0.60074915567,57.21590158925324,,66.868,1598.10676952274,52.2260292191155
SEN,2022,66.27652752399518,2.5087324578742534,2.49708253504,0.70233380644,65.57419373581416,,67.788,1574.0281059306,53.4435061024348
SEN,2023,69.2165727192521,2.6150624084269096,2.60691585712,0.72983579325,68.48673694497619,50.3600006103516,68.683,1698.03387300843,54.6992276190794
SGP,2010,,,,,,95.8600006103516,81.5414634146342,47236.683084953,100.0
SGP,2011,,,,,,96.1900024414062,81.7439024390244,53891.4570264372,100.0
SGP,2012,,,,,,96.370002746582,81.9951219512195,55547.5553077786,100.0
SGP,2013,,,,,,96.5500030517578,82.2463414634147,56967.4257940383,100.0
SGP,2014,,,,,,96.7200012207031,82.4951219512195,57564.8023114977,100.0
SGP,2015,,,,,,96.8300018310547,82.7439024390244,55645.6068614606,100.0
SGP,2016,,,,,,97.0500030517578,82.8463414634146,57204.0340105222,100.0
SGP,2017,,,,,,97.1999969482422,83.0951219512195,61436.1325502558,100.0
SGP,2018,,,,,,97.3399963378906,83.2975609756098,67032.8225769734,100.0
SGP,2019,,,,,,97.4800033569336,83.5951219512195,66068.7003106378,100.0
SGP,2020,,,,,,97.129997253418,83.5439024390244,61772.5036492256,100.0
SGP,2021,,,,,,97.6500015258789,83.0926829268293,80884.8565369236,100.0
SGP,2022,,,,,,,82.8951219512195,91227.6970426492,100.0
SGP,2023,,,,,,,83.0975609756098,86382.5900499252,100.0
SLB,2010,,,,,,,68.669,1685.14535823757,20.1194058206257
SLB,2011,,,,,,,68.824,1924.05795643133,20.7284892962955
SLB,2012,,,,,,,68.961,2066.25738638356,21.3906964219987
SLB,2013,,,,,,,69.007,2161.38627543917,22.1027262484765
SLB,2014,,,,,,,68.984,2164.95289873002,22.8612778264703
SLB,2015,,,,,,,69.323,2045.47721526649,23.6630502067213
SLB,2016,,,,,,,69.501,2082.62383124213,24.5047424399707
